sex,old,education,work_year,work_month,work_industry,work_kind,work_class,comp_type,contract_term,contract_paper,time_regular,time_is,time_week_offi,time_over,income_when,income_type,income_bonus,income,force,jobin_1,jobin_2,jobin_3,jobin_4,jobin_5,jobin_6,jobin_7,jobin_8,jobin_9,skill_2,skill_3,train,certificate,marriage,religion,wave_month,wave_date,wave_year,seoul,satisfy,tenure,sum_welfare
Male,50,High School,2001,3,Building,Work,Day Worker,Private Company,Unlimited,Not Received,Irregular,Yes,40.0,Yes,Day,Day,No,80.0,No,Bad,Bad,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Low,Very Useful,Not Train,No Certificate,Married,Unknown,8,13,2001,Seoul,0,6.0,0
Male,31,University,1996,4,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Received,Regular,Yes,78.0,Yes,Month,Year,No,200.0,No,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,6,22,2001,Seoul,1,64.0,2
Male,24,High School,2001,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,66.0,Yes,Month,Month,No,70.0,No,Bad,Bad,Normal,Normal,Bad,Bad,Normal,Very Bad,Very Bad,Low,Useless,Not Train,No Certificate,Single,Unknown,7,21,2001,Seoul,0,5.0,0
Male,36,College,1993,9,Retail,Sale,Regular Worker,Private Company,Unlimited,Received,Regular,Yes,52.0,Yes,Month,Month,No,150.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,8,15,2001,Seoul,0,97.0,3
Male,22,University,2001,4,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,45.0,Yes,Month,Month,No,110.0,No,Good,Good,Good,Good,Good,Good,Good,Good,Good,Suit,Very Useful,Not Train,No Certificate,Single,No,6,23,2001,Seoul,1,3.0,6
Male,24,College,2001,4,Retail,Officer,Temporary Worker,Private Company,Unlimited,Not Received,Regular,Yes,30.0,Yes,Month,Month,No,40.0,No,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Low,Very Useless,Not Train,No Certificate,Single,Unknown,6,7,2001,Seoul,0,2.0,0
Female,34,High School,2001,1,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,72.0,Yes,Month,Month,No,150.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,7,27,2001,Seoul,0,7.0,0
Female,50,High School,1985,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,78.0,Yes,Month,Month,No,160.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,8,19,2001,Seoul,0,201.0,2
Male,27,High School,1999,11,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,107.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,7,29,2001,Seoul,0,21.0,3
Male,28,"Master, Doctor",1999,3,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,50.0,Yes,Month,Month,No,141.0,Yes,Good,Good,Good,Good,Good,Good,Good,Good,Good,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,8,2,2001,Seoul,1,30.0,10
Female,62,Under Elementary School,2000,10,Building,Work,Day Worker,Freelancer,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Month,Month,No,20.0,No,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Very Bad,Low,Useless,Not Train,No Certificate,Married,Unknown,6,16,2001,Seoul,0,9.0,0
Male,44,High School,2001,2,Building,Work,Temporary Worker,Private Company,Unlimited,Received,Irregular,Yes,57.0,Yes,Day,Day,Yes,130.0,No,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Low,Useful,Not Train,No Certificate,Married,Unknown,6,12,2001,Seoul,0,4.0,1
Male,29,University,2000,4,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,No,43.5062369009892,Unknown,Month,Year,No,120.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,8,22,2001,Seoul,0,17.0,7
Female,28,High School,2001,3,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,Yes,Month,Month,No,112.0,No,Normal,Normal,Good,Normal,Normal,Normal,Good,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,9,20,2001,Seoul,0,7.0,5
Male,66,Under Elementary School,2000,7,Retail,Work,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,54.0,Yes,Month,Month,No,60.0,Yes,Normal,Normal,Bad,Normal,Normal,Bad,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,28,2001,Seoul,0,13.0,5
Female,18,High School,2001,1,Retail,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,Yes,Month,Month,No,60.0,Yes,Bad,Good,Good,Good,Good,Normal,Good,Normal,Good,Suit,Useful,Not Train,No Certificate,Single,Unknown,9,26,2001,Seoul,0,9.0,6
Male,56,Under Elementary School,2000,8,Building,Work,Day Worker,Freelancer,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Whenever,Day,No,60.0,No,Normal,Normal,Normal,Normal,Normal,Bad,Good,Normal,Very Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,7,14,2001,Seoul,0,12.0,1
Female,18,High School,2000,4,Retail,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,No,Month,Month,No,85.0,Yes,Very Good,Very Good,Good,Very Good,Bad,Normal,Very Good,Good,Very Good,Suit,Useful,Not Train,No Certificate,Single,Unknown,7,23,2001,Seoul,0,16.0,16
Male,30,University,2001,2,Computing Data,Officer,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,44.0,Yes,Month,Month,Yes,130.0,No,Good,Good,Good,Good,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Did Train,No Certificate,Single,Unknown,8,2,2001,Seoul,0,6.0,11
Male,39,High School,1997,8,Building,Device,Regular Worker,Private Company,Limited,Received,Regular,Yes,66.0,No,Month,Month,No,140.0,No,Bad,Normal,Good,Good,Bad,Bad,Good,Bad,Bad,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,7,6,2001,Seoul,0,48.0,5
Female,29,High School,2001,4,Retail,Work,Regular Worker,Private Company,Limited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,80.0,No,Normal,Normal,Normal,Normal,Bad,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,7,20,2001,Seoul,0,4.0,3
Female,20,College,2000,11,Computing Data,Expert,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,35.0,Yes,Month,Month,No,87.0,No,Good,Normal,Good,Good,Good,Good,Good,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Single,Unknown,7,14,2001,Seoul,0,9.0,6
Female,51,Under Elementary School,1999,7,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,48.0,Yes,Month,Month,No,80.0,No,Bad,Normal,Good,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Very Useful,Not Train,No Certificate,Married,Unknown,5,30,2001,Seoul,0,23.0,1
Male,29,College,2001,4,Retail,Sale,Regular Worker,Private Company,Unlimited,Not Received,Regular,Yes,60.0,Yes,Month,Month,No,140.0,No,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Suit,Useful,Not Train,No Certificate,Single,Unknown,7,8,2001,Seoul,0,3.0,1
Male,64,Under Elementary School,2001,5,Building,Work,Day Worker,Freelancer,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Whenever,Day,No,50.0,No,Bad,Bad,Normal,Normal,Normal,Normal,Normal,Bad,Very Bad,Suit,Useful,Not Train,No Certificate,Married,Unknown,8,12,2001,Seoul,0,3.0,1
Male,44,Middle School,2000,6,Building,Work,Day Worker,Freelancer,Limited,Not Received,Irregular,No,43.5062369009892,Unknown,Day,Day,No,36.0,No,Very Bad,Very Bad,Very Bad,Bad,Bad,Bad,Normal,Normal,Very Bad,Low,Useless,Not Train,No Certificate,"Separation, Divorce, Died",Unknown,7,31,2001,Seoul,0,14.0,1
Male,23,University,2000,5,Retail,Sale,Temporary Worker,Private Company,Unlimited,Not Received,Regular,Yes,84.0,Yes,Month,Month,No,100.0,No,Normal,Normal,Good,Normal,Bad,Good,Good,Good,Bad,Suit,Useful,Not Train,No Certificate,Single,Unknown,5,27,2001,Seoul,0,13.0,1
Male,33,Middle School,2001,5,Building,Skill,Day Worker,Freelancer,Unlimited,Not Received,Irregular,No,43.5062369009892,Unknown,Month,Day,No,120.0,No,Normal,Normal,Bad,Normal,Normal,Bad,Normal,Bad,Very Bad,Suit,Useless,Not Train,No Certificate,Married,Unknown,7,11,2001,Seoul,0,2.0,1
